T5,true,io,nn
573,12.020410469621599,12.064952103154726,12.091239447451368
574,14.50130936052401,14.514496644152771,14.500476736318936
575,17.0484007923262,17.043094340170118,16.984728253262883
576,19.667282989597556,19.655300303308987,19.55072115041656
577,22.364394039192547,22.35603239814162,22.206182437043587
578,25.147194302884053,25.15061715088974,24.96005299084734
579,28.024401034064883,28.044850963348853,27.822770214204734
580,31.006329367473832,31.045091348066492,30.806639638105974
581,34.105336156103505,34.158417602002835,33.92633143383853
582,37.336391501881984,37.392986556585456,37.19956816152851
583,40.717967698449314,40.75909326826541,40.64809198782346
584,44.27329310824549,44.273990123060976,44.29906662416948
585,48.03226741333805,48.01415909627297,48.18720022864039
586,167.96550698224723,166.63099463634867,52.35808947132555
587,163.66563144993398,162.30064394617764,56.87380324753817
588,158.98979482598537,157.66220490699382,61.82291405407129
589,153.8178045663428,152.51810742856688,67.34034175298555
590,147.94733190477902,146.5772727304,73.65237817490974
591,140.9838667173757,139.37432657303253,81.20288393711522
592,131.90890214664185,130.09567511594847,91.17905873138218
